Date,Open,High,Low,Close,Volume
2024-09-09,191.23801177922246,191.42726913701765,188.30448663487002,190.36741638183594,4864100
2024-09-10,190.3674119186019,190.47150562886037,186.44972550250876,189.07098388671875,4859400
2024-09-11,188.97634987185464,191.92881948339488,184.56658274159702,191.54083251953125,5900500
2024-09-12,190.77433858913005,191.15285331497938,184.21646339017678,185.45611572265625,7201000
2024-09-13,186.52540816501005,190.09296731232448,186.2604450153356,189.1939697265625,4617000
2024-09-16,188.0489684794945,188.7870822323177,185.46557034461333,187.81239318847656,3717800
2024-09-17,188.7302925364293,191.38939630081006,188.24766973716856,190.57557678222656,3478500
2024-09-18,191.79631366283724,193.96335142208466,189.222387771966,189.93211364746094,4262100
2024-09-19,196.46159099244053,199.2531766201591,194.64469443705002,196.45213317871094,5155600
2024-09-20,193.40503309480198,194.2377682855802,190.2822364210074,192.38302612304688,14502900
2024-09-23,192.94133385045748,193.82140139631386,191.94771479135866,192.9034881591797,2757400
2024-09-24,194.99481974693114,197.22809111968894,193.62268591743475,193.93496704101562,5573200
2024-09-25,192.23161125090965,194.34185873085192,192.21268118524745,194.0485076904297,4124600
2024-09-26,199.0260711162717,199.2626464112809,194.0485176680553,198.02297973632812,4521300
2024-09-27,199.50867509724108,200.35088255122764,197.5971427129062,197.909423828125,3074400
2024-09-30,195.03266956268527,197.49304384831666,193.14006729401063,195.47743225097656,5459100
2024-10-01,194.99480206460726,195.90325747259104,188.97632650001526,190.77430725097656,9039900
2024-10-02,192.01396104252768,194.70145272032948,190.87840260227145,192.5060272216797,4389400
2024-10-03,190.28223145744366,192.51550268426573,189.51572985847412,190.84054565429688,3167000
2024-10-04,195.03268277518976,195.2787158885976,190.52827982937094,191.82472229003906,4092900
2024-10-07,189.81852863633605,191.89093029507816,188.94793338250716,190.46202087402344,2772400
2024-10-08,190.18760168544395,192.33570934577216,188.5410469204588,191.3515625,6283700
2024-10-09,190.7270001797577,194.46488684435857,190.5661307165572,193.96334838867188,3214900
2024-10-10,191.11497160562487,192.43978733586857,190.09296471111892,191.5975799560547,3649400
2024-10-11,190.55663879322185,194.73928772290108,190.55663879322185,194.09580993652344,2815800
2024-10-14,195.0705172691223,197.73909342642722,194.59736669706763,197.4552001953125,3291600
2024-10-15,196.84957689924903,197.4457368280677,188.2193002577952,189.10882568359375,6818800
2024-10-16,191.13389960359464,191.2474655588303,188.57888942163842,189.91317749023438,3311300
2024-10-17,193.89711442986538,193.89711442986538,187.4717354918629,187.6515350341797,4686900
2024-10-18,188.7681521660015,189.22238712113105,186.17529621766715,187.81239318847656,4029500
2024-10-21,186.17529854970647,187.301384819953,183.69597964998368,185.25738525390625,4948100
2024-10-22,183.21336238763672,184.81261360791072,182.49417872690336,183.5540313720703,7910800
2024-10-23,190.2443617536288,192.099118213861,187.36761283913535,190.9067840576172,10548500
2024-10-24,191.92881415239123,195.79918255132398,190.4052686599811,195.51528930664062,9309300
2024-10-25,196.46159229873368,200.03860967210053,195.6477726908591,195.81809997558594,5103100
2024-10-28,195.28818749201116,196.17771299166557,193.99175937921052,194.77719116210938,4409000
2024-10-29,195.07051248736883,200.22785070846123,194.28508082428218,200.00074768066406,5522800
2024-10-30,196.8306370487785,199.48974094091082,196.59406176386412,196.76438903808594,4914000
2024-10-31,198.08843471739198,198.08843471739198,191.83981657559067,193.5162811279297,6543000
2024-11-01,193.44007946775687,196.90729320051008,193.44007946775687,195.19273376464844,4208800
2024-11-04,193.8306098665994,195.84045159878747,192.93522807105472,193.99253845214844,3693800
2024-11-05,192.47803114958674,195.76426164397319,190.23957649724218,192.84951782226562,5253200
2024-11-06,199.01235830396865,205.44194460389437,198.4789430994166,204.76565551757812,8527500
2024-11-07,205.55627353359895,207.8899724943379,205.33719538710682,207.2136688232422,6020800
2024-11-08,206.7469225002293,209.92837356824083,205.9467996929104,209.83311462402344,5020700
2024-11-11,207.66137200286303,209.29972722664894,204.15606331395676,205.62295532226562,6154700
2024-11-12,205.16571850931822,205.18477320519239,199.07904401297978,202.6796112060547,4990800
2024-11-13,200.99362667088954,201.79376401820738,195.59277588248432,195.95474243164062,7921800
2024-11-14,195.52609181094877,197.2406509507773,194.67833958826597,196.221435546875,4783800
2024-11-15,194.1735259684113,195.0498530863898,190.77298199430615,191.57310485839844,5970400
2024-11-18,192.60182664539911,197.81217403788528,191.96363241624206,197.34542846679688,7912100
2024-11-19,196.11667564666246,196.53579175886227,191.44927792692764,191.52548217773438,6716000
2024-11-20,188.6774017616908,190.12525340821495,187.14382578638885,188.7821807861328,7344400
2024-11-21,188.83933174278548,190.9158430169277,186.60087735600436,188.7917022705078,8080300
2024-11-22,188.38213340207025,189.46801858414858,187.17241449067086,188.60121154785156,7861300
2024-11-25,191.8683528565862,194.44971880667543,190.46814536271646,193.29714965820312,9274400
2024-11-26,196.2214649819708,197.08827202914586,189.69661919183838,191.4111785888672,5260500
2024-11-27,191.11589353201788,191.85886683800211,188.2678195027614,189.73472595214844,4732200
2024-11-29,190.582463896222,192.89710797440037,190.22049735185865,191.48736572265625,3167400
2024-12-02,190.2967043438213,192.80186634535016,189.05841073135753,192.20176696777344,6373900
2024-12-03,189.22987944900788,190.47769317860397,187.6486739366988,187.8677520751953,4743400
2024-12-04,188.3154225460233,189.0488756677686,186.324635750045,187.3152618408203,7172600
2024-12-05,186.4579910107637,187.79152893855837,183.0860368022124,183.82901000976562,6049100
2024-12-06,184.46722259736615,185.8769649094206,183.45754170355113,183.93380737304688,5140700
2024-12-09,182.91460380970634,188.4202341458851,182.5050222837386,184.26719665527344,3880300
2024-12-10,184.15287174050067,184.49578357827383,180.4475256902867,181.1523895263672,6064200
2024-12-11,183.01935105459492,183.80995372439975,181.1809727461549,182.60023498535156,6057800
2024-12-12,181.45723284962233,183.13368289183222,180.59996039798136,182.60980224609375,4025600
