Date,Open,High,Low,Close,Volume
2024-09-09,174.3121831224852,175.73935491728065,171.8220103651862,174.75509643554688,7492500
2024-09-10,175.16848042086815,175.69997338440447,171.3692421408144,175.24722290039062,5367900
2024-09-11,177.40273088209162,183.47560311549773,172.64876123672838,183.01300048828125,8187100
2024-09-12,181.45786457190474,182.21574768391076,177.21571361343575,180.3259735107422,8011700
2024-09-13,182.3830766372724,185.82798088831095,182.03858020473228,185.503173828125,4851300
2024-09-16,182.08779367657502,184.95198906265205,180.25707255562367,184.62718200683594,5915800
2024-09-17,186.51695554990624,187.501213890539,183.05236198567366,185.62127685546875,4026100
2024-09-18,187.7571230324882,188.64296458503128,182.8259939587852,183.20985412597656,4266900
2024-09-19,191.4874627400562,195.20795805773298,189.87327966581861,193.61346435546875,7326100
2024-09-20,191.29062965801927,192.45204738301703,186.48744376941062,189.13510131835938,14306900
2024-09-23,191.3594965921913,192.5602929178488,189.656733940991,190.9854736328125,4457900
2024-09-24,193.41660382717782,194.73552143627583,190.7098933524277,193.68235778808594,4849700
2024-09-25,192.2157888618682,197.1370801586588,192.2157888618682,194.20399475097656,5060100
2024-09-26,207.50136885110487,208.81041934304554,199.3123315270924,206.31040954589844,7849800
2024-09-27,207.7572644624205,208.00332906193276,200.7887132020024,201.69422912597656,4524800
2024-09-30,197.83591058719793,201.09380303021183,195.56227640581187,198.869384765625,5746000
2024-10-01,200.207984290177,200.8477461773663,190.59177649960517,194.09573364257812,6930100
2024-10-02,194.71582127925822,201.29065951393088,193.64298333678576,197.98355102539062,5536600
2024-10-03,194.5977397502341,199.93241860972952,194.5977397502341,196.44813537597656,3813300
2024-10-04,201.39895881124104,201.69423934934102,196.36939754153124,198.79067993164062,4131100
2024-10-07,196.24145095149075,198.41665367550428,195.1095447436892,196.97964477539062,3711100
2024-10-08,196.97964066416347,199.36154421733585,195.5426167754506,197.71783447265625,3616100
2024-10-09,198.22965677823169,202.35370231463233,197.47178854323246,201.83204650878906,4141600
