Date,Open,High,Low,Close,Volume
2024-09-09,751.4851572312444,751.6818724986081,725.9825865748609,737.460205078125,2539900
2024-09-10,737.5485238645769,739.6040989033038,722.1466883241367,738.9943237304688,1524000
2024-09-11,757.3369071053596,788.3864565649731,746.2231275071197,786.9505615234375,2559100
2024-09-12,788.1800845878344,795.3597410484609,780.6364718960031,786.9801635742188,1318700
2024-09-13,790.8649706441008,805.1259542584534,790.6190916162672,802.9031982421875,1069200
2024-09-16,795.6253157826113,795.8908243465315,779.0825654917327,789.8028564453125,1150100
2024-09-17,795.3695118287346,798.3889135721705,783.4099219890812,792.4091186523438,734600
2024-09-18,786.901404462829,797.5429955904405,773.4075326712257,774.8533325195312,1249000
2024-09-19,818.9444569430801,825.8094411699385,808.6667001515768,814.5087890625,1644300
2024-09-20,796.2153562010889,796.8349761967528,776.6433602093941,782.1707763671875,2748600
2024-09-23,794.2975474554019,794.2975474554019,784.8558154289924,790.2553100585938,965600
2024-09-24,796.2054944075278,803.0409437174878,787.7964432550003,800.5821533203125,881200
2024-09-25,802.8934468386739,813.5744786718678,800.5822077199051,804.6932983398438,878200
2024-09-26,846.1484454099138,847.7909005320421,825.8585029301227,838.3884887695312,1566400
2024-09-27,838.3983465722414,840.0703360180946,824.3832415601332,827.6681518554688,1038400
2024-09-30,822.7604228303958,828.2779340219281,806.1881997235099,819.5148315429688,994700
2024-10-01,825.8389089053255,827.4027261391577,798.5168589829801,808.7945556640625,1244100
2024-10-02,807.2699667196389,825.4355394881826,803.0408596848562,818.4722290039062,898400
2024-10-03,812.2958046331603,823.7046280973328,810.2107551779785,818.6886596679688,651900
2024-10-04,822.2687555500368,825.5045624576768,812.345110122432,819.26904296875,862500
2024-10-07,798.3397520136382,809.4338437159444,797.6414939206505,803.7786254882812,898200
2024-10-08,808.9420366323487,817.1347430029754,806.5520995817126,810.6730346679688,1265900
2024-10-09,816.1511877869489,832.1726435576919,812.7482004466552,831.956298828125,1004900
2024-10-10,811.4008500878674,821.855631904052,807.958543451131,820.2229614257812,876300
2024-10-11,816.2397259568742,831.0711666623712,814.754606930141,826.8322143554688,964700
2024-10-14,838.4672780341282,858.855550331699,838.1230113351924,857.8917236328125,1769200
2024-10-15,852.9249373385796,859.2489996800389,705.6729125417334,718.3897705078125,9350700
2024-10-16,699.2505250118526,705.653225454944,666.1060751464065,672.2530517578125,10296200
2024-10-17,681.2227621390674,692.2774760336488,665.9585695571578,689.051513671875,7209100
2024-10-18,705.8400695715517,714.485215573413,701.4240913435706,711.3379516601562,4537800
2024-10-21,712.0656913007335,712.9016560150834,697.1063890760666,702.328857421875,2184800
2024-10-22,711.0821865235325,712.1738750585231,705.8105542918269,709.026611328125,2067000
2024-10-23,702.2796944721209,704.5024505744112,688.5596321822009,696.939208984375,1681400
2024-10-24,708.1218728801111,708.1317176475073,694.805084133705,699.0932006835938,1854700
2024-10-25,704.1877688331908,711.328106195853,699.5062220208081,699.968505859375,1380100
2024-10-28,696.7130872068038,699.7718083217964,692.3855917171502,696.9688110351562,1182800
2024-10-29,697.6893772699148,705.7729411341451,693.6969033385047,704.9843139648438,1445500
2024-10-30,683.7008950679822,685.7415062499812,672.9261190503249,674.1189575195312,3085200
2024-10-31,673.2810224793491,673.3007577144292,657.7448196729331,662.9991455078125,2398300
2024-11-01,668.9139530615872,673.0641888450485,663.896269443483,665.148193359375,1801700
2024-11-04,666.4494168734469,668.7956233595745,661.293707241624,661.6288452148438,1232500
2024-11-05,663.945518504813,675.7849745566401,663.9060480355897,666.8536376953125,1282000
2024-11-06,659.0558709616774,663.4820985864723,645.4715928218599,652.0369873046875,3208600
2024-11-07,664.5369435689744,670.1856127034976,660.2980199401645,667.5929565429688,1758300
2024-11-08,660.4853930256891,661.7077742753893,652.4905768132123,659.962890625,1726800
2024-11-11,662.2302226053064,662.4470695074631,652.5398014546817,661.7767333984375,1520100
2024-11-12,663.0878883313728,666.9324685305455,653.4172020444981,659.677001953125,1711000
2024-11-13,655.1816512051324,664.1129867110816,647.4530216284095,663.8468017578125,2453700
2024-11-14,695.6586586257984,701.8889157725264,681.7096383248975,683.1193237304688,3925300
2024-11-15,668.7265892774632,670.22502299808,648.182571993699,649.2767944335938,3063200
2024-11-18,641.8241332814847,659.3614750420469,638.7977232674026,655.7830200195312,2010600
2024-11-19,653.4072527837604,661.8752318823625,644.1899967044218,652.756591796875,1640700
2024-11-20,647.2067296739673,649.1289898367274,636.2840585006023,649.0797119140625,1677800
2024-11-21,644.6336006564733,663.5018060667597,639.8032221413955,662.6145629882812,2859000
2024-11-22,658.3165869199568,665.2171802003932,656.7590075895066,663.324462890625,1275600
2024-11-25,675.2722581662291,676.9579959749727,668.3716657470121,674.749755859375,1511300
2024-11-26,669.9392123867704,672.1670677299841,657.3604067030191,662.4273681640625,1424100
2024-11-27,660.2487496926175,663.1371335503967,650.2428657475915,660.95849609375,1231800
2024-11-29,669.2293614124077,689.714293485563,668.9040308956963,676.8594360351562,1706500
2024-12-02,672.0684762931678,703.5450315196648,671.0333993644595,701.3663940429688,2325900
