Date,Open,High,Low,Close,Volume
2024-09-09,156.72940248018094,159.01074505218944,156.23219461096087,158.69876098632812,10339000
2024-09-10,158.80598675564664,158.80598675564664,153.73636523445933,158.35751342773438,11910800
2024-09-11,159.6931810513131,166.10820793866037,157.37284806246763,165.9619598388672,15059500
2024-09-12,166.93658512678775,168.4532888776036,165.37093714585598,167.74874877929688,13399900
2024-09-13,168.54134968425134,171.01701965268458,167.76830566325293,168.79576110839844,8787800
2024-09-16,166.26138198870976,166.89741801474992,163.1888104701731,165.44920349121094,12194300
2024-09-17,165.71341528363888,166.5843029904208,162.7876166173773,163.75636291503906,8629100
2024-09-18,164.842534924061,167.91510668246545,163.41388006161165,163.6878662109375,9116000
2024-09-19,170.63539800219854,173.96238100189245,168.92297720771285,172.43588256835938,15855000
2024-09-20,171.11485645147215,172.24017043910405,169.9210534001749,170.34182739257812,18429800
2024-09-23,171.08551655344354,171.63348883431414,169.9699972870642,171.00723266601562,5794200
2024-09-24,175.64546266321838,178.85502758313143,173.24807632618513,178.0624237060547,14576100
2024-09-25,177.62210175830435,179.87271528016464,177.31876098813382,178.4342803955078,8280900
2024-09-26,184.45219118348598,185.2643697321562,179.85312096778853,182.81805419921875,15103400
2024-09-27,181.84931212967874,181.94717072573692,173.59054830818158,174.1483154296875,17908400
2024-09-30,170.52776500281814,173.02300979828374,168.2380023478601,169.94064331054688,13540200
2024-10-01,171.54543068233994,172.21083628172275,167.11270806293984,168.37501525878906,11850200
2024-10-02,169.24589162588097,173.1697761620737,167.12247671398973,172.02490234375,11164400
2024-10-03,172.02491562098393,176.90775199252352,171.35951001498051,175.62588500976562,12555000
2024-10-04,175.84116625510242,177.33831024113115,173.73734076473218,177.2698211669922,9993800
2024-10-07,177.7003818972216,181.0273653418648,177.04475613740308,180.54788208007812,12054200
2024-10-08,180.9882195543381,182.53427787102325,178.1211299127469,182.0548095703125,10394200
2024-10-09,183.76721451141313,183.96291675577956,178.34617126260585,183.1213836669922,11925000
2024-10-10,181.8688875286153,183.0626907356754,180.44023264879525,181.7906036376953,6443800
2024-10-11,184.12926178075867,187.37797572912282,183.9726940150516,186.7125701904297,12163900
2024-10-14,186.5168868366693,190.0787217460163,186.40924835323608,188.08253479003906,11714400
2024-10-15,188.81644348394508,189.4622595013563,180.29347274798118,183.11163330078125,21812700
2024-10-16,185.70471497762105,185.92977183979536,182.65171778247048,183.4541015625,18689200
2024-10-17,198.98329455511822,208.03466125976385,197.6329237174385,201.41981506347656,62274700
2024-10-18,201.5274536461503,201.5274536461503,196.44890063846677,196.46847534179688,21030800
2024-10-21,196.49785347722914,199.07138228749915,195.37255426444887,197.61337280273438,14820000
2024-10-22,194.7952220673232,195.87159195222281,192.87730410362224,194.21788024902344,11165100
2024-10-23,192.45653595235694,198.76804221858893,192.01620212546595,196.54678344726562,16535700
2024-10-24,194.68756790474038,196.19449159467572,193.17084939745948,193.67967224121094,9935800
2024-10-25,195.94989454079777,200.7935968128843,195.70526296209513,199.07139587402344,13434900
2024-10-28,194.98111755351724,195.45082086141838,190.34291310420673,190.4994659423828,20135300
2024-10-29,190.21572301676508,194.52123267732892,189.44269382507846,192.71096801757812,13779100
2024-10-30,190.20592831093148,191.2529435850235,188.4739327491415,190.30377197265625,10007800
2024-10-31,188.71856751549404,188.71856751549404,183.6302341542396,186.44837951660156,13062700
2024-11-01,190.0297831036587,193.91453327228274,188.41522086267753,188.80662536621094,12691200
2024-11-04,189.54051759051845,190.1863484511213,186.5070953990233,187.44647216796875,10917300
2024-11-05,189.42309456659362,194.0808736815652,189.33503079625757,191.5562744140625,10339200
2024-11-06,187.9161626324431,190.0884919649707,184.45218649553743,189.07083129882812,19834900
2024-11-07,192.0944772741086,197.67207366682308,192.03576809067872,196.86968994140625,14865200
2024-11-08,199.5117087238807,202.17330121442967,195.7248170622274,196.8794708251953,13112100
2024-11-11,193.70906743114978,193.94390418057745,187.37800125497853,189.88302612304688,16610000
2024-11-12,189.66773916488248,189.8340868306795,185.64599580024523,187.6519775390625,11819000
2024-11-13,188.30759881666114,188.34673329797957,182.49515035212275,182.65171813964844,13882200
2024-11-14,184.35433561849194,188.52286691102262,183.5128024640908,184.4521942138672,11453900
2024-11-15,184.13905560820072,184.74575201346795,180.84142704812152,182.01565551757812,9834800
2024-11-18,180.39132447982044,183.96293940540045,179.54979128742306,183.4541015625,10681500
2024-11-19,185.06867879826873,185.9395665840305,183.98251403794782,185.59707641601562,9390100
2024-11-20,184.7946840323351,184.7946840323351,180.10753504126848,184.31520080566406,10624500
2024-11-21,185.34264190892864,188.17058188905855,182.72997887658363,187.1333465576172,18137300
2024-11-22,188.80664138228386,188.8555706821573,185.3622247207334,185.99827575683594,8838900
2024-11-25,184.05099517632047,184.2075629567259,179.76506043838103,181.1056365966797,14380000
2024-11-26,181.4187562130428,181.9080193257329,178.41468846531066,179.8922576904297,10186600
2024-11-27,178.09176764803271,178.5321014499485,174.22659216057787,177.29916381835938,9895200
2024-11-29,177.61228980327877,182.93547485861853,177.2893743571506,180.6946563720703,8045300
2024-12-02,185.27415401753422,191.09638213792144,184.88274949542222,190.22549438476562,16646900
2024-12-03,189.3448238533947,194.72671807144985,188.46415622652668,194.61907958984375,11217700
2024-12-04,195.5584584815697,198.24940541376924,194.0123853615165,196.3804168701172,12761100
2024-12-05,196.92841000880946,201.21435980957014,196.4391468783528,199.9129180908203,12483700
2024-12-06,197.66231463243582,198.82676333038935,195.63675800366767,198.66041564941406,9672900
2024-12-09,196.61528258035884,198.7680523884166,194.7071592787862,194.89308166503906,9699700
2024-12-10,194.82458031790586,195.61718418316897,186.28203549398557,187.81832885742188,15307900
2024-12-11,190.48967741850288,191.79111894594234,189.1099520099629,190.4211883544922,9027600
2024-12-12,191.05534966877076,191.830833611285,187.77668210728348,187.94357299804688,7944900
2024-12-13,194.8640610798348,198.8200428944105,193.6468451236814,197.29852294921875,19477000
